run,nu,drift_rms_base,drift_rms_dtg,improve_pct,theta_rate,t_collision,alpha_dtg,tau_theta,k_ctrl,gate_floor
runs/fine_0.0035/a1.1_tau1.1_kc0.08_gf0.30,0.003,0.015336164410285555,0.004066370286529384,73.48508937604909,0.015701569998526788,,1.1,1.1,0.08,0.3
runs/fine_0.0035/a1.1_tau1.1_kc0.08_gf0.30,0.0035,0.017726962319945645,0.004762290235236933,73.13532826840502,0.018302200473272662,,1.1,1.1,0.08,0.3
runs/fine_0.0035/a1.1_tau1.1_kc0.08_gf0.25,0.003,0.015336164410285555,0.004322261462617195,71.81654195283424,0.015493809856888606,,1.1,1.1,0.08,0.25
runs/fine_0.0035/a1.1_tau1.1_kc0.08_gf0.25,0.0035,0.017726962319945645,0.005060372843624183,71.45380718765075,0.018065971390158912,,1.1,1.1,0.08,0.25
runs/fine_0.0035/a1.0_tau1.1_kc0.08_gf0.30,0.003,0.015336164410285555,0.004450117932858227,70.98284933699816,0.014963097205450984,,1.0,1.1,0.08,0.3
runs/fine_0.0035/a1.0_tau1.1_kc0.08_gf0.30,0.0035,0.017726962319945645,0.005210787853846673,70.60529740065104,0.01744330814030024,,1.0,1.1,0.08,0.3
runs/fine_0.0035/a1.1_tau1.3_kc0.08_gf0.30,0.003,0.015336164410285555,0.0045143422528441494,70.56407239729054,0.015382694391414887,,1.1,1.3,0.08,0.3
runs/fine_0.0035/a1.1_tau1.3_kc0.08_gf0.30,0.0035,0.017726962319945645,0.005287089591468916,70.17486980541442,0.017925637941680048,,1.1,1.3,0.08,0.3
runs/fine_0.0035/a1.1_tau1.1_kc0.08_gf0.20,0.003,0.015336164410285555,0.004614682628373611,69.90979944582058,0.015217239439173497,,1.1,1.1,0.08,0.2
runs/fine_0.0035/a1.1_tau1.1_kc0.08_gf0.20,0.0035,0.017726962319945645,0.00539948168393001,69.54085202824211,0.01776398738752334,,1.1,1.1,0.08,0.2
runs/fine_0.0035/a1.0_tau1.1_kc0.08_gf0.25,0.003,0.015336164410285555,0.00471132015894615,69.2796710252637,0.01473886379590179,,1.0,1.1,0.08,0.25
runs/fine_0.0035/a1.1_tau1.1_kc0.05_gf0.30,0.003,0.015336164410285555,0.004746586689137856,69.04971437346846,0.015261828286471041,,1.1,1.1,0.05,0.3
runs/fine_0.0035/a1.0_tau1.1_kc0.08_gf0.25,0.0035,0.017726962319945645,0.005514395492890396,68.89260893455035,0.017193341412353864,,1.0,1.1,0.08,0.25
runs/fine_0.0035/a1.1_tau1.3_kc0.08_gf0.25,0.003,0.015336164410285555,0.004779167791990099,68.83726814518994,0.015129104681124108,,1.1,1.3,0.08,0.25
runs/fine_0.0035/a1.1_tau1.1_kc0.05_gf0.30,0.0035,0.017726962319945645,0.005552665897536498,68.67672082041452,0.017824222725802513,,1.1,1.1,0.05,0.3
runs/fine_0.0035/a1.1_tau1.3_kc0.08_gf0.25,0.0035,0.017726962319945645,0.005594603645380325,68.4401447670168,0.017650793580207613,,1.1,1.3,0.08,0.25
runs/fine_0.0035/a0.9_tau1.1_kc0.08_gf0.30,0.003,0.015336164410285555,0.004881068221778646,68.17282280499651,0.014099974905639948,,0.9,1.1,0.08,0.3
runs/fine_0.0035/a1.0_tau1.3_kc0.08_gf0.30,0.003,0.015336164410285555,0.004903116167002081,68.0290584018929,0.014534397131557882,,1.0,1.3,0.08,0.3
runs/fine_0.0035/a1.1_tau1.5_kc0.08_gf0.30,0.003,0.015336164410285555,0.00492305677038619,67.89903499544887,0.01485672312124073,,1.1,1.5,0.08,0.3
runs/fine_0.0035/a0.9_tau1.1_kc0.08_gf0.30,0.0035,0.017726962319945645,0.005714164859233878,67.76568508410188,0.016441383507462187,,0.9,1.1,0.08,0.3
runs/fine_0.0035/a1.1_tau1.1_kc0.05_gf0.25,0.003,0.015336164410285555,0.00495830122189148,67.66922230850578,0.015093720697427869,,1.1,1.1,0.05,0.25
runs/fine_0.0035/a1.0_tau1.3_kc0.08_gf0.30,0.0035,0.017726962319945645,0.0057410089807922345,67.6142540544993,0.01694586523807221,,1.0,1.3,0.08,0.3
runs/fine_0.0035/a1.1_tau1.5_kc0.08_gf0.30,0.0035,0.017726962319945645,0.005765122657662321,67.4782258030997,0.017324911021679105,,1.1,1.5,0.08,0.3
runs/fine_0.0035/a1.0_tau1.1_kc0.08_gf0.20,0.003,0.015336164410285555,0.005004785272674223,67.36612141874504,0.014485335368954681,,1.0,1.1,0.08,0.2
runs/fine_0.0035/a1.1_tau1.1_kc0.05_gf0.25,0.0035,0.017726962319945645,0.005797627354863614,67.29486276201781,0.01764613008651019,,1.1,1.1,0.05,0.25
runs/fine_0.0035/a1.0_tau1.1_kc0.08_gf0.20,0.0035,0.017726962319945645,0.005854451633480524,66.97430993637676,0.01691944721500791,,1.0,1.1,0.08,0.2
runs/fine_0.0035/a1.1_tau1.3_kc0.08_gf0.20,0.003,0.015336164410285555,0.005077250756954271,66.89360767709887,0.014906971285053597,,1.1,1.3,0.08,0.2
