out,k_planar,alpha_dtg,tau_theta,k_ctrl,drift_max,theta_rate,planar,fig8_phase,escaped,collided,theta_active,orbit_ok,verdict
runs/sweep2/kp0.6_ad1.0_tt2.4_kc0.12,0.6,1.0,2.4,0.12,0.0029668121164065,0.0037493318235914093,False,0.49577211078464756,False,False,False,True,MAYBE
runs/sweep2/kp0.6_ad1.0_tt2.4_kc0.06,0.6,1.0,2.4,0.06,0.0029668121164065,0.0037493318235914093,False,0.49577211078464756,False,False,False,True,MAYBE
runs/sweep2/kp0.6_ad1.0_tt2.4_kc0.08,0.6,1.0,2.4,0.08,0.0029668121164065,0.0037493318235914093,False,0.49577211078464756,False,False,False,True,MAYBE
runs/sweep2/kp0.6_ad0.8_tt2.0_kc0.06,0.6,0.8,2.0,0.06,0.0029668121164065,0.0035218364575403034,False,0.49577211078464756,False,False,False,True,MAYBE
runs/sweep2/kp0.6_ad0.8_tt2.0_kc0.08,0.6,0.8,2.0,0.08,0.0029668121164065,0.0035218364575403034,False,0.49577211078464756,False,False,False,True,MAYBE
runs/sweep2/kp0.6_ad0.8_tt2.0_kc0.12,0.6,0.8,2.0,0.12,0.0029668121164065,0.0035218364575403034,False,0.49577211078464756,False,False,False,True,MAYBE
runs/sweep2/kp0.6_ad1.0_tt2.6_kc0.12,0.6,1.0,2.6,0.12,0.0029668121164065,0.0034903233207105432,False,0.49577211078464756,False,False,False,True,MAYBE
runs/sweep2/kp0.6_ad1.0_tt2.6_kc0.08,0.6,1.0,2.6,0.08,0.0029668121164065,0.0034903233207105432,False,0.49577211078464756,False,False,False,True,MAYBE
runs/sweep2/kp0.6_ad1.0_tt2.6_kc0.06,0.6,1.0,2.6,0.06,0.0029668121164065,0.0034903233207105432,False,0.49577211078464756,False,False,False,True,MAYBE
runs/sweep2/kp0.6_ad0.8_tt2.2_kc0.08,0.6,0.8,2.2,0.08,0.0029668121164065,0.003239792043945949,False,0.49577211078464756,False,False,False,True,MAYBE
runs/sweep2/kp0.6_ad0.8_tt2.2_kc0.06,0.6,0.8,2.2,0.06,0.0029668121164065,0.003239792043945949,False,0.49577211078464756,False,False,False,True,MAYBE
runs/sweep2/kp0.6_ad0.8_tt2.2_kc0.12,0.6,0.8,2.2,0.12,0.0029668121164065,0.003239792043945949,False,0.49577211078464756,False,False,False,True,MAYBE
runs/sweep2/kp0.6_ad0.8_tt2.4_kc0.12,0.6,0.8,2.4,0.12,0.0029668121164065,0.0029994654588732833,False,0.49577211078464756,False,False,False,True,MAYBE
runs/sweep2/kp0.6_ad0.8_tt2.4_kc0.08,0.6,0.8,2.4,0.08,0.0029668121164065,0.0029994654588732833,False,0.49577211078464756,False,False,False,True,MAYBE
runs/sweep2/kp0.6_ad0.8_tt2.4_kc0.06,0.6,0.8,2.4,0.06,0.0029668121164065,0.0029994654588732833,False,0.49577211078464756,False,False,False,True,MAYBE
runs/sweep2/kp0.6_ad0.8_tt2.6_kc0.12,0.6,0.8,2.6,0.12,0.0029668121164065,0.0027922586565683454,False,0.49577211078464756,False,False,False,True,MAYBE
runs/sweep2/kp0.6_ad0.8_tt2.6_kc0.06,0.6,0.8,2.6,0.06,0.0029668121164065,0.0027922586565683454,False,0.49577211078464756,False,False,False,True,MAYBE
runs/sweep2/kp0.6_ad0.8_tt2.6_kc0.08,0.6,0.8,2.6,0.08,0.0029668121164065,0.0027922586565683454,False,0.49577211078464756,False,False,False,True,MAYBE
runs/sweep2/kp0.6_ad1.2_tt2.0_kc0.12,0.6,1.2,2.0,0.12,0.0029668121164065,0.005282754686309955,False,0.49577211078464756,False,False,True,True,OK
runs/sweep2/kp0.6_ad1.2_tt2.0_kc0.06,0.6,1.2,2.0,0.06,0.0029668121164065,0.005282754686309955,False,0.49577211078464756,False,False,True,True,OK
runs/sweep2/kp0.6_ad1.2_tt2.0_kc0.08,0.6,1.2,2.0,0.08,0.0029668121164065,0.005282754686309955,False,0.49577211078464756,False,False,True,True,OK
runs/sweep2/kp0.6_ad1.2_tt2.2_kc0.12,0.6,1.2,2.2,0.12,0.0029668121164065,0.004859688065919701,False,0.49577211078464756,False,False,True,True,OK
runs/sweep2/kp0.6_ad1.2_tt2.2_kc0.08,0.6,1.2,2.2,0.08,0.0029668121164065,0.004859688065919701,False,0.49577211078464756,False,False,True,True,OK
runs/sweep2/kp0.6_ad1.2_tt2.2_kc0.06,0.6,1.2,2.2,0.06,0.0029668121164065,0.004859688065919701,False,0.49577211078464756,False,False,True,True,OK
runs/sweep2/kp0.6_ad1.2_tt2.4_kc0.08,0.6,1.2,2.4,0.08,0.0029668121164065,0.004499198188310758,False,0.49577211078464756,False,False,True,True,OK
runs/sweep2/kp0.6_ad1.2_tt2.4_kc0.06,0.6,1.2,2.4,0.06,0.0029668121164065,0.004499198188310758,False,0.49577211078464756,False,False,True,True,OK
runs/sweep2/kp0.6_ad1.2_tt2.4_kc0.12,0.6,1.2,2.4,0.12,0.0029668121164065,0.004499198188310758,False,0.49577211078464756,False,False,True,True,OK
runs/sweep2/kp0.6_ad1.0_tt2.0_kc0.08,0.6,1.0,2.0,0.08,0.0029668121164065,0.004402295571925573,False,0.49577211078464756,False,False,True,True,OK
runs/sweep2/kp0.6_ad1.0_tt2.0_kc0.06,0.6,1.0,2.0,0.06,0.0029668121164065,0.004402295571925573,False,0.49577211078464756,False,False,True,True,OK
runs/sweep2/kp0.6_ad1.0_tt2.0_kc0.12,0.6,1.0,2.0,0.12,0.0029668121164065,0.004402295571925573,False,0.49577211078464756,False,False,True,True,OK
