phase,status,cost,drift_max,theta_rate,fig8_phase,t_escape,binary,alpha_dtg,beta_dtg,tau_theta,dtheta_max,theta_min,theta_max,k_ctrl,k_ctrl_e,k_nu,k_nu_ed,nu0,nu_max,dt,tmax,ic,alpha,dtg,no_plots,lyap_light,adaptive_step,adapt_r_trigger,adapt_factor,min_max_step,run_dir
explore@1,ok,63.98383058359311,0.6413860639314269,0.02023818652366811,1.4404924303911368,nan,0,0.6,0.8,0.6630970064527761,0.1099358422750507,0.9118123485202317,2.0,0.27507242341291327,0.5716815406861371,0.0,0.17826664396199465,0.002,0.2,0.002,30.0,exp2,1.0,1,True,True,True,0.02,0.3,0.0002,runs/auto_1510/auto_beta0.800_tau0.663_d0.110_thmin0.912_kc0.275_ke0.572_knued0.178_20250906-152810_59545_4849
explore@1,ok,64.03121648197704,0.6417759676867997,0.02019613569331573,1.4305236622122144,nan,0,0.6,0.8,1.1388603434740676,0.12108699643745038,0.9579579247952476,2.0,0.261892995772953,0.7,0.0,0.2194181059539105,0.002,0.2,0.002,30.0,exp2,1.0,1,True,True,True,0.02,0.3,0.0002,runs/auto_1510/auto_beta0.800_tau1.139_d0.121_thmin0.958_kc0.262_ke0.700_knued0.219_20250906-152850_59546_9338
explore,ok,64.41050648257085,0.644340265682987,0.010518958363150987,1.3979131276204053,nan,0,0.6,0.4139491378257734,0.8315103708816857,0.0863833581538902,0.9186232709088824,2.0,0.16515021441145936,0.41118944124403684,0.0,0.24535266663966002,0.002,0.2,0.002,30.0,exp2,1.0,1,True,True,True,0.02,0.3,0.0002,runs/auto_1510/auto_beta0.414_tau0.832_d0.086_thmin0.919_kc0.165_ke0.411_knued0.245_20250906-152617_59385_2789
explore@1,ok,64.77522110208353,0.6474963547684996,0.013478298798945128,1.2995392334712155,nan,0,0.6,0.5333177320971783,0.6,0.0881186527384124,0.9255777692450737,2.0,0.2084443572385745,0.5506831134325948,0.0,0.29394919762800403,0.002,0.2,0.002,30.0,exp2,1.0,1,True,True,True,0.02,0.3,0.0002,runs/auto_1510/auto_beta0.533_tau0.600_d0.088_thmin0.926_kc0.208_ke0.551_knued0.294_20250906-152851_59547_5857
explore,ok,65.61918314594988,0.656858722141908,0.015559243030771197,1.38887079741652,nan,0,0.6,0.6155514786350494,0.7831534270489234,0.15243360104049025,0.9687708320202997,2.0,0.16062860248329802,0.3952018537475981,0.0,0.25034666674444206,0.002,0.2,0.002,30.0,exp2,1.0,1,True,True,True,0.02,0.3,0.0002,runs/auto_1510/auto_beta0.616_tau0.783_d0.152_thmin0.969_kc0.161_ke0.395_knued0.250_20250906-152751_59383_3748
explore@1,ok,66.06213728593066,0.6617784261525876,0.016191224563180204,1.4422413546203878,nan,0,0.6,0.6365449293355175,1.0813490739624725,0.08035301447166479,0.98,2.0,0.2717003790501239,0.3,0.0,0.15,0.002,0.2,0.002,30.0,exp2,1.0,1,True,True,True,0.02,0.3,0.0002,runs/auto_1510/auto_beta0.637_tau1.081_d0.080_thmin0.980_kc0.272_ke0.300_knued0.150_20250906-152830_59545_5086
explore,ok,66.71951335447143,0.6676844753580633,0.01223449947308031,1.4082364832551129,nan,0,0.6,0.4824160894850421,0.8961447736935061,0.09676056246171902,0.9213582257639291,2.0,0.2904981881568741,0.5592141540986374,0.0,0.24136965085004822,0.002,0.2,0.002,30.0,exp2,1.0,1,True,True,True,0.02,0.3,0.0002,runs/auto_1510/auto_beta0.482_tau0.896_d0.097_thmin0.921_kc0.290_ke0.559_knued0.241_20250906-152634_59385_6215
explore@2,ok,67.53184550044443,0.6765982741959512,0.017766350851998767,1.4378980132883683,nan,0,0.6,0.7020112345208039,1.014452043965217,0.14813957857576107,0.9748605005759632,2.0,0.23112280646329478,0.6648798924456822,0.0,0.19613410693764027,0.002,0.2,0.002,30.0,exp2,1.0,1,True,True,True,0.02,0.3,0.0002,runs/auto_1510/auto_beta0.702_tau1.014_d0.148_thmin0.975_kc0.231_ke0.665_knued0.196_20250906-152931_59635_1136
explore@2,ok,67.79389259529887,0.6792194046658216,0.018090827905987608,1.433924490279286,nan,0,0.6,0.7155651684821369,1.0195405320069777,0.13957270880623618,0.9527643511463336,2.0,0.19145095276719898,0.696749956135065,0.0,0.211278097232972,0.002,0.2,0.002,30.0,exp2,1.0,1,True,True,True,0.02,0.3,0.0002,runs/auto_1510/auto_beta0.716_tau1.020_d0.140_thmin0.953_kc0.191_ke0.697_knued0.211_20250906-152931_59633_2175
explore,ok,68.2840893819727,0.6835853528202019,0.013623591476159495,1.4227624816073736,nan,0,0.6,0.5376411890493656,1.039842874795955,0.10120453031520474,0.9697946432868205,2.0,0.21347069103013303,0.3847192821768328,0.0,0.23089441331691873,0.002,0.2,0.002,30.0,exp2,1.0,1,True,True,True,0.02,0.3,0.0002,runs/auto_1510/auto_beta0.538_tau1.040_d0.101_thmin0.970_kc0.213_ke0.385_knued0.231_20250906-152730_59384_5227
explore@2,ok,68.31996031945755,0.6842321417358174,0.015367307229409691,1.436975977287623,nan,0,0.6,0.6062927850281591,0.9365128813650727,0.08150028822926333,0.9795718684647748,2.0,0.20802645245443346,0.3003106853810718,0.0,0.20049629301792643,0.002,0.2,0.002,30.0,exp2,1.0,1,True,True,True,0.02,0.3,0.0002,runs/auto_1510/auto_beta0.606_tau0.937_d0.082_thmin0.980_kc0.208_ke0.300_knued0.200_20250906-152932_59634_9129
