phase,status,cost,drift_max,theta_rate,fig8_phase,t_escape,binary,alpha_dtg,beta_dtg,tau_theta,dtheta_max,theta_min,theta_max,k_ctrl,k_ctrl_e,k_nu,k_nu_ed,nu0,nu_max,dt,tmax,ic,alpha,dtg,no_plots,lyap_light,adaptive_step,adapt_r_trigger,adapt_factor,min_max_step,run_dir
explore,ok,34.38579620748907,0.6888826703124022,0.013385369806090897,1.3112090251753186,nan,0,0.6,0.5294259262936993,0.8119041331984419,0.09973020061551868,0.9449094507330521,2.0,0.18941124127844028,0.5338343960894162,0.0,0.28467343254037153,0.002,0.2,0.002,30.0,exp2,1.0,1,True,True,True,0.02,0.3,0.0002,runs/auto_1510/auto_beta0.529_tau0.812_d0.100_thmin0.945_kc0.189_ke0.534_knued0.285_20250906-151142_55739_4263
explore,ok,38.25679067249387,0.7672159373716775,0.01274143598941107,1.441479590489735,nan,0,0.6,0.4997002525701986,0.7754566073258267,0.15980300851960882,0.9407621034941172,2.0,0.16363641182606908,0.3188465501698938,0.0,0.16644736955259887,0.002,0.2,0.002,30.0,exp2,1.0,1,True,True,True,0.02,0.3,0.0002,runs/auto_1510/auto_beta0.500_tau0.775_d0.160_thmin0.941_kc0.164_ke0.319_knued0.166_20250906-151122_55738_6424
explore,ok,39.29987294632247,0.7884956701118535,0.015528099410930418,1.4240739129022542,nan,0,0.6,0.613723020851545,1.2336634914903712,0.11377279734397472,0.9050822164921566,2.0,0.2072428929759805,0.6984485520960386,0.0,0.22936715176487055,0.002,0.2,0.002,30.0,exp2,1.0,1,True,True,True,0.02,0.3,0.0002,runs/auto_1510/auto_beta0.614_tau1.234_d0.114_thmin0.905_kc0.207_ke0.698_knued0.229_20250906-151142_55738_7824
explore,ok,34.74096985733549,0.6983036813026469,0.019862541349685268,1.438971985749983,nan,0,0.6,0.7855391888068091,1.2886237617875984,0.08091848175542557,0.9576577455488156,2.0,0.2522565553539862,0.514788132163518,0.0,0.1900237784928814,0.002,0.2,0.002,30.0,exp2,1.0,1,True,True,True,0.02,0.3,0.0002,runs/auto_1510/auto_beta0.786_tau1.289_d0.081_thmin0.958_kc0.252_ke0.515_knued0.190_20250906-151123_55741_3833
explore,ok,39.991383557823625,0.8024868552692089,0.015733813921976283,1.4390526660426608,nan,0,0.6,0.620480899289904,0.6892417388767011,0.1147812200535284,0.9362978965063365,2.0,0.293072389128162,0.6503411761512776,0.0,0.1895083576126636,0.002,0.2,0.002,30.0,exp2,1.0,1,True,True,True,0.02,0.3,0.0002,runs/auto_1510/auto_beta0.620_tau0.689_d0.115_thmin0.936_kc0.293_ke0.650_knued0.190_20250906-151142_55741_8356
explore,ok,26.16142715160744,0.5252813621803426,0.013932610805944812,1.4082871233756087,nan,0,0.6,0.5502930565251491,0.7429215044241051,0.15301022714758564,0.9696414855869413,2.0,0.19476671871729492,0.5555797979464021,0.0,0.24134553171572584,0.002,0.2,0.002,30.0,exp2,1.0,1,True,True,True,0.02,0.3,0.0002,runs/auto_1510/auto_beta0.550_tau0.743_d0.153_thmin0.970_kc0.195_ke0.556_knued0.241_20250906-151200_55740_3949
explore,ok,37.843764966094774,0.7582980952558649,0.009618393152183236,1.4373896629415863,nan,0,0.6,0.3764196342748174,1.210008640060121,0.12315032240957005,0.9622901182904446,2.0,0.22955305082927663,0.3002287584511774,0.0,0.19862340855070096,0.002,0.2,0.002,30.0,exp2,1.0,1,True,True,True,0.02,0.3,0.0002,runs/auto_1510/auto_beta0.376_tau1.210_d0.123_thmin0.962_kc0.230_ke0.300_knued0.199_20250906-151220_55740_5874
explore,ok,37.655154711606215,0.7531999087475753,0.007890872119546513,1.314830011442691,nan,0,0.6,0.30973837119291614,1.3432788930116937,0.15029775022585473,0.9665332423488944,2.0,0.1961271188103992,0.323170066597675,0.0,0.28170143988060603,0.002,0.2,0.002,30.0,exp2,1.0,1,True,True,True,0.02,0.3,0.0002,runs/auto_1510/auto_beta0.310_tau1.343_d0.150_thmin0.967_kc0.196_ke0.323_knued0.282_20250906-151201_55739_2046
explore,ok,31.69317685767295,0.6373111178001821,0.01958652951246401,1.4412843430287916,nan,0,0.6,0.7734747226489971,0.668522761654303,0.1188792370653291,0.9055370014774707,2.0,0.26409032478858474,0.606333771722795,0.0,0.16925871967496442,0.002,0.2,0.002,30.0,exp2,1.0,1,True,True,True,0.02,0.3,0.0002,runs/auto_1510/auto_beta0.773_tau0.669_d0.119_thmin0.906_kc0.264_ke0.606_knued0.169_20250906-151220_55739_4703
explore,ok,34.07392673360556,0.6835853528202019,0.013623591476159495,1.4227624816073736,nan,0,0.6,0.5376411890493656,1.039842874795955,0.10120453031520474,0.9697946432868205,2.0,0.21347069103013303,0.3847192821768328,0.0,0.23089441331691873,0.002,0.2,0.002,30.0,exp2,1.0,1,True,True,True,0.02,0.3,0.0002,runs/auto_1510/auto_beta0.538_tau1.040_d0.101_thmin0.970_kc0.213_ke0.385_knued0.231_20250906-151202_55738_9005
explore,ok,38.33843035110475,0.7695344722607547,0.01681137493691306,1.4254487814096304,nan,0,0.6,0.6649655345449881,0.7609208507117566,0.1049373033040716,0.9796119485328716,2.0,0.247481708645918,0.4752400335658016,0.0,0.2276363761553386,0.002,0.2,0.002,30.0,exp2,1.0,1,True,True,True,0.02,0.3,0.0002,runs/auto_1510/auto_beta0.665_tau0.761_d0.105_thmin0.980_kc0.247_ke0.475_knued0.228_20250906-151221_55738_7984
explore,ok,38.13530511193752,0.7640941913881147,0.009267748935792871,1.4418174202757084,nan,0,0.6,0.36050209793413285,0.7797578696252458,0.10704684497179642,0.9470646974765786,2.0,0.18451720988948656,0.38808695378062374,0.0,0.16064896290135489,0.002,0.2,0.002,30.0,exp2,1.0,1,True,True,True,0.02,0.3,0.0002,runs/auto_1510/auto_beta0.361_tau0.780_d0.107_thmin0.947_kc0.185_ke0.388_knued0.161_20250906-151202_55741_5833
explore,ok,32.73179535782108,0.656858722141908,0.015559243030771197,1.38887079741652,nan,0,0.6,0.6155514786350494,0.7831534270489234,0.15243360104049025,0.9687708320202997,2.0,0.16062860248329802,0.3952018537475981,0.0,0.25034666674444206,0.002,0.2,0.002,30.0,exp2,1.0,1,True,True,True,0.02,0.3,0.0002,runs/auto_1510/auto_beta0.616_tau0.783_d0.152_thmin0.969_kc0.161_ke0.395_knued0.250_20250906-151222_55741_3795
explore@1,ok,40.910590934072125,0.8211076874194005,0.016840218877641852,1.4409781203037042,nan,0,0.6,0.6639087583549635,0.9760759442422359,0.11635298879158579,0.9663198735720059,2.0,0.15,0.3670406525737032,0.0,0.17312251131966844,0.002,0.2,0.002,30.0,exp2,1.0,1,True,True,True,0.02,0.3,0.0002,runs/auto_1510/auto_beta0.664_tau0.976_d0.116_thmin0.966_kc0.150_ke0.367_knued0.173_20250906-151241_55912_9959
