phase,status,cost,drift_max,theta_rate,fig8_phase,t_escape,binary,alpha_dtg,beta_dtg,tau_theta,dtheta_max,theta_min,theta_max,k_ctrl,k_ctrl_e,k_nu,k_nu_ed,nu0,nu_max,dt,tmax,ic,alpha,dtg,no_plots,lyap_light,adaptive_step,adapt_r_trigger,adapt_factor,min_max_step,run_dir
explore@2,ok,61.679945898050924,0.616789476496595,0.019928033848865868,1.2496517663998983,nan,0,0.6,0.7912389140750434,0.6359309730006661,0.09459539241530833,0.9230765461606945,2.0,0.25215170876960746,0.593678363194123,0.0,0.3,0.002,0.2,0.002,30.0,exp2,1.0,1,True,True,True,0.02,0.3,0.0002,runs/auto_1539/auto_beta0.791_tau0.636_d0.095_thmin0.923_kc0.252_ke0.594_knued0.300_20250906-154449_62014_4095
explore@1,ok,61.682888224826925,0.6167776269945157,0.019515307426589832,1.2496517504484286,nan,0,0.6,0.7747412360791616,0.7131411348123918,0.08,0.9171558288181427,2.0,0.3,0.7,0.0,0.3,0.002,0.2,0.002,30.0,exp2,1.0,1,True,True,True,0.02,0.3,0.0002,runs/auto_1539/auto_beta0.775_tau0.713_d0.080_thmin0.917_kc0.300_ke0.700_knued0.300_20250906-154228_61881_9828
explore@3,ok,61.686067922383046,0.6167739079556865,0.01916014728434432,1.2496517504277063,nan,0,0.6,0.76054462252408,0.7739043828861911,0.09201250696041345,0.9121484601242569,2.0,0.23599434800805544,0.46670563963578754,0.0,0.3,0.002,0.2,0.002,30.0,exp2,1.0,1,True,True,True,0.02,0.3,0.0002,runs/auto_1539/auto_beta0.761_tau0.774_d0.092_thmin0.912_kc0.236_ke0.467_knued0.300_20250906-154611_62127_7007
explore@3,ok,61.69032603683421,0.6167817969620546,0.018813225901894885,1.2496517504403837,nan,0,0.6,0.7466773233739827,0.6,0.0887814679464507,0.9096339680277806,2.0,0.3,0.5782969670150584,0.0,0.3,0.002,0.2,0.002,30.0,exp2,1.0,1,True,True,True,0.02,0.3,0.0002,runs/auto_1539/auto_beta0.747_tau0.600_d0.089_thmin0.910_kc0.300_ke0.578_knued0.300_20250906-154510_62129_3288
explore@3,ok,61.70286447223647,0.6167671619259072,0.01741303200101664,1.2496517504301075,nan,0,0.6,0.6907081825082557,1.0056532734307895,0.1061391914993492,0.9205471870254116,2.0,0.24037793617410635,0.5148834868773473,0.0,0.3,0.002,0.2,0.002,30.0,exp2,1.0,1,True,True,True,0.02,0.3,0.0002,runs/auto_1539/auto_beta0.691_tau1.006_d0.106_thmin0.921_kc0.240_ke0.515_knued0.300_20250906-154551_62129_4846
explore@1,ok,61.723561085182126,0.6167747047672091,0.015418799855490361,1.2496517412298447,nan,0,0.6,0.6109938444607966,0.6,0.09949713170556795,0.9190805043386414,2.0,0.3,0.6650271713805019,0.0,0.3,0.002,0.2,0.002,30.0,exp2,1.0,1,True,True,True,0.02,0.3,0.0002,runs/auto_1539/auto_beta0.611_tau0.600_d0.099_thmin0.919_kc0.300_ke0.665_knued0.300_20250906-154308_61881_9020
explore@1,ok,61.7838800455513,0.6167670708294127,0.009310563704925985,1.2496517504258866,nan,0,0.6,0.3668327670315232,0.6858460759276208,0.10940342463928508,0.9377167324590201,2.0,0.29012552042382306,0.5516082368754702,0.0,0.3,0.002,0.2,0.002,30.0,exp2,1.0,1,True,True,True,0.02,0.3,0.0002,runs/auto_1539/auto_beta0.367_tau0.686_d0.109_thmin0.938_kc0.290_ke0.552_knued0.300_20250906-154249_61879_4184
explore@1,ok,61.794070490792606,0.6167638973433223,0.008259784319088869,1.2496517504359137,nan,0,0.6,0.3248305701883684,0.9654946795289343,0.08,0.9248624848426998,2.0,0.18085286167716655,0.3345484996378132,0.0,0.3,0.002,0.2,0.002,30.0,exp2,1.0,1,True,True,True,0.02,0.3,0.0002,runs/auto_1539/auto_beta0.325_tau0.965_d0.080_thmin0.925_kc0.181_ke0.335_knued0.300_20250906-154309_61879_1021
explore@1,ok,61.80034243173883,0.6167644975422352,0.007638592214081145,1.2496517504298517,nan,0,0.6,0.3,0.8329565321405921,0.08,0.9449514070592361,2.0,0.15,0.41826144502981705,0.0,0.3,0.002,0.2,0.002,30.0,exp2,1.0,1,True,True,True,0.02,0.3,0.0002,runs/auto_1539/auto_beta0.300_tau0.833_d0.080_thmin0.945_kc0.150_ke0.418_knued0.300_20250906-154228_61880_4368
explore,ok,61.89928780272874,0.6179961843741646,0.009719900395509583,1.2539145384157697,nan,0,0.6,0.383155555301957,0.9885129003605747,0.09709978393593453,0.9320832234039562,2.0,0.15879530999582683,0.4515892475907664,0.0,0.29779632656695887,0.002,0.2,0.002,30.0,exp2,1.0,1,True,True,True,0.02,0.3,0.0002,runs/auto_1539/auto_beta0.383_tau0.989_d0.097_thmin0.932_kc0.159_ke0.452_knued0.298_20250906-154209_61653_8678
explore,ok,62.07877134512656,0.6208568980342117,0.01564452877950084,1.313091463124509,nan,0,0.6,0.6197133992289419,0.6200086041781335,0.10200234546952955,0.9178568590519058,2.0,0.26047068212460184,0.5706797949691644,0.0,0.28382693515572677,0.002,0.2,0.002,30.0,exp2,1.0,1,True,True,True,0.02,0.3,0.0002,runs/auto_1539/auto_beta0.620_tau0.620_d0.102_thmin0.918_kc0.260_ke0.571_knued0.284_20250906-153958_61655_8815
explore@1,ok,63.25485841667554,0.6337912330075451,0.017864815653319703,1.432020909432216,nan,0,0.6,0.7067013192329112,0.9508135478298982,0.13415869299587907,0.9466823100413976,2.0,0.15,0.7,0.0,0.21615086627233424,0.002,0.2,0.002,30.0,exp2,1.0,1,True,True,True,0.02,0.3,0.0002,runs/auto_1539/auto_beta0.707_tau0.951_d0.134_thmin0.947_kc0.150_ke0.700_knued0.216_20250906-154308_61880_7072
explore,ok,63.58221901047054,0.6373111178001821,0.01958652951246401,1.4412843430287916,nan,0,0.6,0.7734747226489971,0.668522761654303,0.1188792370653291,0.9055370014774707,2.0,0.26409032478858474,0.606333771722795,0.0,0.16925871967496442,0.002,0.2,0.002,30.0,exp2,1.0,1,True,True,True,0.02,0.3,0.0002,runs/auto_1539/auto_beta0.773_tau0.669_d0.119_thmin0.906_kc0.264_ke0.606_knued0.169_20250906-154128_61655_7727
explore@2,ok,63.66627159111403,0.637190224503476,0.01699772804330411,1.3534669735006561,nan,0,0.6,0.6733871537812044,0.7194849868976173,0.16,0.9666901783726544,2.0,0.21325900281181565,0.5463014675363315,0.0,0.2642611478900379,0.002,0.2,0.002,30.0,exp2,1.0,1,True,True,True,0.02,0.3,0.0002,runs/auto_1539/auto_beta0.673_tau0.719_d0.160_thmin0.967_kc0.213_ke0.546_knued0.264_20250906-154349_62016_5865
explore@2,ok,64.40929196256681,0.6448096250426646,0.011880511594516844,1.4410817821931003,nan,0,0.6,0.4655901049614112,0.7596475784554426,0.12246196497061647,0.9754829499662366,2.0,0.20438340132923202,0.6710496928492347,0.0,0.1718747737758562,0.002,0.2,0.002,30.0,exp2,1.0,1,True,True,True,0.02,0.3,0.0002,runs/auto_1539/auto_beta0.466_tau0.760_d0.122_thmin0.975_kc0.204_ke0.671_knued0.172_20250906-154450_62016_4669
explore,ok,64.41050648257085,0.644340265682987,0.010518958363150987,1.3979131276204053,nan,0,0.6,0.4139491378257734,0.8315103708816857,0.0863833581538902,0.9186232709088824,2.0,0.16515021441145936,0.41118944124403684,0.0,0.24535266663966002,0.002,0.2,0.002,30.0,exp2,1.0,1,True,True,True,0.02,0.3,0.0002,runs/auto_1539/auto_beta0.414_tau0.832_d0.086_thmin0.919_kc0.165_ke0.411_knued0.245_20250906-153958_61656_2590
explore@3,ok,65.01720457550913,0.6499917082637398,0.018223807281402805,1.2496602225635116,nan,0,0.6,0.7231141954569894,0.678028691811419,0.08,0.9,2.0,0.3,0.7,0.0,0.2998457186094193,0.002,0.2,0.002,30.0,exp2,1.0,1,True,True,True,0.02,0.3,0.0002,runs/auto_1539/auto_beta0.723_tau0.678_d0.080_thmin0.900_kc0.300_ke0.700_knued0.300_20250906-154611_62128_6447
explore,ok,65.61918314594988,0.656858722141908,0.015559243030771197,1.38887079741652,nan,0,0.6,0.6155514786350494,0.7831534270489234,0.15243360104049025,0.9687708320202997,2.0,0.16062860248329802,0.3952018537475981,0.0,0.25034666674444206,0.002,0.2,0.002,30.0,exp2,1.0,1,True,True,True,0.02,0.3,0.0002,runs/auto_1539/auto_beta0.616_tau0.783_d0.152_thmin0.969_kc0.161_ke0.395_knued0.250_20250906-154130_61654_5560
explore@2,ok,66.06800421944844,0.6617730003084512,0.015550272771332422,1.442241354604197,nan,0,0.6,0.6109243443400854,0.8601446665077624,0.08,0.9725691533396936,2.0,0.20909757104115054,0.30034410965626906,0.0,0.15,0.002,0.2,0.002,30.0,exp2,1.0,1,True,True,True,0.02,0.3,0.0002,runs/auto_1539/auto_beta0.611_tau0.860_d0.080_thmin0.973_kc0.209_ke0.300_knued0.150_20250906-154409_62016_6442
explore@3,ok,66.08503475580345,0.6617721637273024,0.013838853323701302,1.442241354612222,nan,0,0.6,0.5425146760550251,0.7727005906767401,0.10598819851105631,0.9594958203560704,2.0,0.19858226091793638,0.34185072654121046,0.0,0.15,0.002,0.2,0.002,30.0,exp2,1.0,1,True,True,True,0.02,0.3,0.0002,runs/auto_1539/auto_beta0.543_tau0.773_d0.106_thmin0.959_kc0.199_ke0.342_knued0.150_20250906-154530_62129_9123
explore@1,ok,66.09696604751646,0.6617639261555667,0.012563348439098669,1.4422413545615183,nan,0,0.6,0.4915295242712717,0.6,0.11745700779850472,0.9034729378966772,2.0,0.277036051392879,0.5293662939348892,0.0,0.15,0.002,0.2,0.002,30.0,exp2,1.0,1,True,True,True,0.02,0.3,0.0002,runs/auto_1539/auto_beta0.492_tau0.600_d0.117_thmin0.903_kc0.277_ke0.529_knued0.150_20250906-154248_61881_6055
explore@1,ok,66.12210339852984,0.6617717473987867,0.010127825880560532,1.442241353179035,nan,0,0.6,0.39417577961478656,0.6405364644916766,0.10789084315643437,0.98,2.0,0.27185741501673777,0.5174151612173696,0.0,0.15,0.002,0.2,0.002,30.0,exp2,1.0,1,True,True,True,0.02,0.3,0.0002,runs/auto_1539/auto_beta0.394_tau0.641_d0.108_thmin0.980_kc0.272_ke0.517_knued0.150_20250906-154328_61880_2061
explore,ok,66.71951335447143,0.6676844753580633,0.01223449947308031,1.4082364832551129,nan,0,0.6,0.4824160894850421,0.8961447736935061,0.09676056246171902,0.9213582257639291,2.0,0.2904981881568741,0.5592141540986374,0.0,0.24136965085004822,0.002,0.2,0.002,30.0,exp2,1.0,1,True,True,True,0.02,0.3,0.0002,runs/auto_1539/auto_beta0.482_tau0.896_d0.097_thmin0.921_kc0.290_ke0.559_knued0.241_20250906-154014_61656_1747
explore,ok,68.2840893819727,0.6835853528202019,0.013623591476159495,1.4227624816073736,nan,0,0.6,0.5376411890493656,1.039842874795955,0.10120453031520474,0.9697946432868205,2.0,0.21347069103013303,0.3847192821768328,0.0,0.23089441331691873,0.002,0.2,0.002,30.0,exp2,1.0,1,True,True,True,0.02,0.3,0.0002,runs/auto_1539/auto_beta0.538_tau1.040_d0.101_thmin0.970_kc0.213_ke0.385_knued0.231_20250906-154110_61653_6822
explore@3,ok,68.49773471361551,0.6854014104061075,0.014600393956173196,1.3705029842918695,nan,0,0.6,0.5774716875312295,0.6774318293414511,0.15437116782898638,0.9674889978506217,2.0,0.19086757859973244,0.49069782302093035,0.0,0.2604594387774387,0.002,0.2,0.002,30.0,exp2,1.0,1,True,True,True,0.02,0.3,0.0002,runs/auto_1539/auto_beta0.577_tau0.677_d0.154_thmin0.967_kc0.191_ke0.491_knued0.260_20250906-154531_62130_5453
explore@2,ok,68.84169226889696,0.6890055420952059,0.012488953384060374,1.4174655084787806,nan,0,0.6,0.4924100545529891,0.9317224036385134,0.10244014861532867,0.9510594830419034,2.0,0.23655324820935397,0.5161137356379746,0.0,0.23507742469082143,0.002,0.2,0.002,30.0,exp2,1.0,1,True,True,True,0.02,0.3,0.0002,runs/auto_1539/auto_beta0.492_tau0.932_d0.102_thmin0.951_kc0.237_ke0.516_knued0.235_20250906-154449_62017_7258
explore,ok,68.90544611303906,0.6888826703124022,0.013385369806090897,1.3112090251753186,nan,0,0.6,0.5294259262936993,0.8119041331984419,0.09973020061551868,0.9449094507330521,2.0,0.18941124127844028,0.5338343960894162,0.0,0.28467343254037153,0.002,0.2,0.002,30.0,exp2,1.0,1,True,True,True,0.02,0.3,0.0002,runs/auto_1539/auto_beta0.529_tau0.812_d0.100_thmin0.945_kc0.189_ke0.534_knued0.285_20250906-154051_61655_7134
