base,esc,bin,hold,rmin_min,drift_end,gate_ratio
runs/out/longrun_nu0.00218_ed010,False,True,291.075,0.0307178762037527,-4.712255335660422,0.9809100954495228
runs/out/repro_seed0,False,True,291.075,0.0307178762037527,-4.712255335660422,0.9809100954495228
runs/out/repro_seed1,False,True,291.075,0.0307178762037527,-4.712255335660422,0.9809100954495228
runs/out/repro_seed2,False,True,291.075,0.0307178762037527,-4.712255335660422,0.9809100954495228
runs/out/repro_seed3,False,True,291.075,0.0307178762037527,-4.712255335660422,0.9809100954495228
runs/out/repro_seed4,False,True,291.075,0.0307178762037527,-4.712255335660422,0.9809100954495228
runs/out/repro_seed5,False,True,291.075,0.0307178762037527,-4.712255335660422,0.9809100954495228
runs/out/repro_seed6,False,True,291.075,0.0307178762037527,-4.712255335660422,0.9809100954495228
runs/out/repro_seed7,False,True,291.075,0.0307178762037527,-4.712255335660422,0.9809100954495228
runs/out/repro_seed8,False,True,291.075,0.0307178762037527,-4.712255335660422,0.9809100954495228
runs/out/repro_seed9,False,True,291.075,0.0307178762037527,-4.712255335660422,0.9809100954495228
runs/out/scan_gf0.92_nu0.00218_bh1.0,False,True,111.075,0.0450799269637404,-0.988746099206238,0.952275596555043
runs/out/scan_gf0.92_nu0.00218_bh1.5,False,True,111.075,0.0450799269637404,-0.988746099206238,0.952275596555043
runs/out/scan_gf0.94_nu0.00218_bh1.0,False,True,111.075,0.0450799269637404,-0.988746099206238,0.952275596555043
runs/out/scan_gf0.94_nu0.00218_bh1.5,False,True,111.075,0.0450799269637404,-0.988746099206238,0.952275596555043
runs/out/confirm_nu022_ed010,False,True,57.111000000000004,0.0144041383617624,3.110988543887948,0.22981385093074536
runs/out/longrun_gf0.92_nu022_ed010,False,True,57.111000000000004,0.0144041383617624,3.110988543887948,0.22981385093074536
runs/out/longrun_gf0.94_nu022_ed010,False,True,57.111000000000004,0.0144041383617624,3.110988543887948,0.22981385093074536
runs/out/longrun_nu0.00220_ed010,False,True,57.111000000000004,0.0144041383617624,3.110988543887948,0.22981385093074536
runs/out/longrun_nu22_ed010,False,True,57.111000000000004,0.0144041383617624,3.110988543887948,0.22981385093074536
runs/out/focus_nu0.0022_kce0.08,False,True,51.093,0.0206822152256853,-0.7626154118466245,0.9047273818154546
runs/out/focus_nu0.0022_kce0.10,False,True,51.093,0.0206822152256853,-0.7626154118466245,0.9047273818154546
runs/out/focus_nu0.0022_kce0.12,False,True,51.093,0.0206822152256853,-0.7626154118466245,0.9047273818154546
runs/out/longrun_300s,False,True,39.657000000000004,0.0091863187113945,1.0854307016644358,0.33574332128339357
runs/out/longrun_ck0.0025,False,True,39.657000000000004,0.0091863187113945,1.0854307016644358,0.33574332128339357
runs/out/baseline_retry,False,True,37.17,0.0214633875481042,-0.3958001448312762,0.8649283767905802
runs/out/fine2_eps0.00030_ck0.0025,False,True,37.17,0.0214633875481042,-0.3958001448312762,0.8649283767905802
runs/out/fine_eps0.0003_ck0.0025,False,True,37.17,0.0214633875481042,-0.3958001448312762,0.8649283767905802
runs/out/focus_nu0.0024_kce0.08,False,True,37.17,0.0214633875481042,-0.3958001448312762,0.8649283767905802
runs/out/focus_nu0.0024_kce0.10,False,True,37.17,0.0214633875481042,-0.3958001448312762,0.8649283767905802
runs/out/focus_nu0.0024_kce0.12,False,True,37.17,0.0214633875481042,-0.3958001448312762,0.8649283767905802
runs/out/exp_stable_try1,False,True,28.788,0.0156156057572024,-0.4084497245777202,0.6479588010299743
