out,escaped,binary,hold_s,rmin_min,drift_end
runs/out/fine2_eps0.00030_ck0.0025,False,True,37.17,0.0214633875481042,-0.3958001448312762
runs/out/fine2_eps0.00028_ck0.0023,True,True,30.432000000000002,0.0133715473258727,56.96742058905232
runs/out/fine2_eps0.00032_ck0.0023,True,True,21.102,0.0129935286539569,49.89619706687857
runs/out/fine2_eps0.00028_ck0.0025,True,True,13.941,0.0181940200038306,1.0001347813327344
runs/out/fine2_eps0.00030_ck0.0023,True,True,2.8425000000000002,0.0159062152651251,2.467494994273916
runs/out/fine2_eps0.00032_ck0.0027,True,False,0.7995,0.0031000928964312,3999.205206477493
runs/out/fine2_eps0.00030_ck0.0027,True,False,0.7995,0.0116274137776155,26.731005184237585
runs/out/fine2_eps0.00028_ck0.0027,True,False,0.7995,0.0123408677989454,8.884295582453646
runs/out/fine2_eps0.00032_ck0.0025,True,False,0.7995,0.013445922776747,26.279351978316296
