seed,esc,bin,hold,drift_end
0,False,True,291.075,-4.712255335660422
1,False,True,291.075,-4.712255335660422
2,False,True,291.075,-4.712255335660422
3,False,True,291.075,-4.712255335660422
4,False,True,291.075,-4.712255335660422
5,False,True,291.075,-4.712255335660422
6,False,True,291.075,-4.712255335660422
7,False,True,291.075,-4.712255335660422
8,False,True,291.075,-4.712255335660422
9,False,True,291.075,-4.712255335660422
