out,alpha_dtg,tau_theta,k_ctrl,drift_max,theta_rate,fig8,planar,escaped,collided,theta_active,orbit_ok,verdict
runs/sweep3_hot/ad1.7_tt1.6_kc0.08,1.7,1.6,0.08,0.0029668121164065,0.00905963318755078,0.49577211078464756,False,False,False,False,True,MAYBE
runs/sweep3_hot/ad1.7_tt1.6_kc0.12,1.7,1.6,0.12,0.0029668121164065,0.00905963318755078,0.49577211078464756,False,False,False,False,True,MAYBE
runs/sweep3_hot/ad1.7_tt1.8_kc0.08,1.7,1.8,0.08,0.0029668121164065,0.008197057335412383,0.49577211078464756,False,False,False,False,True,MAYBE
runs/sweep3_hot/ad1.7_tt1.8_kc0.12,1.7,1.8,0.12,0.0029668121164065,0.008197057335412383,0.49577211078464756,False,False,False,False,True,MAYBE
runs/sweep3_hot/ad1.5_tt1.6_kc0.12,1.5,1.6,0.12,0.0029668121164065,0.00799379398901561,0.49577211078464756,False,False,False,False,True,MAYBE
runs/sweep3_hot/ad1.5_tt1.6_kc0.08,1.5,1.6,0.08,0.0029668121164065,0.00799379398901561,0.49577211078464756,False,False,False,False,True,MAYBE
runs/sweep3_hot/ad1.7_tt2.0_kc0.12,1.7,2.0,0.12,0.0029668121164065,0.007483902472271019,0.49577211078464756,False,False,False,False,True,MAYBE
runs/sweep3_hot/ad1.7_tt2.0_kc0.08,1.7,2.0,0.08,0.0029668121164065,0.007483902472271019,0.49577211078464756,False,False,False,False,True,MAYBE
runs/sweep3_hot/ad1.5_tt1.8_kc0.12,1.5,1.8,0.12,0.0029668121164065,0.007232697648893658,0.49577211078464756,False,False,False,False,True,MAYBE
runs/sweep3_hot/ad1.5_tt1.8_kc0.08,1.5,1.8,0.08,0.0029668121164065,0.007232697648893658,0.49577211078464756,False,False,False,False,True,MAYBE
runs/sweep3_hot/ad1.3_tt1.6_kc0.12,1.3,1.6,0.12,0.0029668121164065,0.006927954790480438,0.49577211078464756,False,False,False,False,True,MAYBE
runs/sweep3_hot/ad1.3_tt1.6_kc0.08,1.3,1.6,0.08,0.0029668121164065,0.006927954790480438,0.49577211078464756,False,False,False,False,True,MAYBE
runs/sweep3_hot/ad1.5_tt2.0_kc0.08,1.5,2.0,0.08,0.0029668121164065,0.006603443357886304,0.49577211078464756,False,False,False,False,True,MAYBE
runs/sweep3_hot/ad1.5_tt2.0_kc0.12,1.5,2.0,0.12,0.0029668121164065,0.006603443357886304,0.49577211078464756,False,False,False,False,True,MAYBE
runs/sweep3_hot/ad1.3_tt1.8_kc0.12,1.3,1.8,0.12,0.0029668121164065,0.006268337962374934,0.49577211078464756,False,False,False,False,True,MAYBE
runs/sweep3_hot/ad1.3_tt1.8_kc0.08,1.3,1.8,0.08,0.0029668121164065,0.006268337962374934,0.49577211078464756,False,False,False,False,True,MAYBE
runs/sweep3_hot/ad1.3_tt2.0_kc0.08,1.3,2.0,0.08,0.0029668121164065,0.005722984243501923,0.49577211078464756,False,False,False,False,True,MAYBE
runs/sweep3_hot/ad1.3_tt2.0_kc0.12,1.3,2.0,0.12,0.0029668121164065,0.005722984243501923,0.49577211078464756,False,False,False,False,True,MAYBE
